experiment,method,k,ground_truth_count,precision_at_k_mean,precision_at_k_sd,recall_at_k_mean,recall_at_k_sd
1,KSEA,1,2,1.0,0.0,0.5,0.0
1,KSEA,2,2,1.0,0.0,1.0,0.0
1,KSEA,3,2,0.6666666666666665,0.0,1.0,0.0
1,KSEA,4,2,0.5,0.0,1.0,0.0
1,KSEA,5,2,0.4,0.0,1.0,0.0
1,KSEA,6,2,0.33333333333333326,0.0,1.0,0.0
1,KSEA,7,2,0.2857142857142857,0.0,1.0,0.0
1,KSEA,8,2,0.25,0.0,1.0,0.0
1,KSEA,9,2,0.2222222222222222,0.0,1.0,0.0
1,KSEA,10,2,0.2,0.0,1.0,0.0
1,LIKA,1,2,1.0,0.0,0.5,0.0
1,LIKA,2,2,1.0,0.0,1.0,0.0
1,LIKA,3,2,0.6666666666666665,0.0,1.0,0.0
1,LIKA,4,2,0.5,0.0,1.0,0.0
1,LIKA,5,2,0.4,0.0,1.0,0.0
1,LIKA,6,2,0.33333333333333326,0.0,1.0,0.0
1,LIKA,7,2,0.2857142857142857,0.0,1.0,0.0
1,LIKA,8,2,0.25,0.0,1.0,0.0
1,LIKA,9,2,0.2222222222222222,0.0,1.0,0.0
1,LIKA,10,2,0.2,0.0,1.0,0.0
2,KSEA,1,4,1.0,0.0,0.25,0.0
2,KSEA,2,4,0.935,0.1689988344948155,0.4675,0.08449941724740775
2,KSEA,3,4,0.8366666666666667,0.16747279793189718,0.6275,0.12560459844892283
2,KSEA,4,4,0.72,0.10224747162910901,0.72,0.10224747162910901
2,KSEA,5,4,0.638,0.08851182652246783,0.7975,0.11063978315308476
2,KSEA,6,4,0.5716666666666667,0.08624541497922235,0.8575,0.12936812246883353
2,KSEA,7,4,0.5185714285714286,0.06931951244198714,0.9075,0.12130914677347743
2,KSEA,8,4,0.47875,0.04719064600857962,0.9575,0.09438129201715924
2,KSEA,9,4,0.4344444444444444,0.031958165696073494,0.9775,0.07190587281616533
2,KSEA,10,4,0.397,0.017144660799776543,0.9925,0.04286165199944131
2,LIKA,1,4,1.0,0.0,0.25,0.0
2,LIKA,2,4,0.99,0.07035264706814484,0.495,0.03517632353407242
2,LIKA,3,4,0.9833333333333333,0.0730143045191968,0.7375,0.05476072838939763
2,LIKA,4,4,0.98,0.06816498108607269,0.98,0.06816498108607269
2,LIKA,5,4,0.7980000000000002,0.02,0.9975,0.024999999999999998
2,LIKA,6,4,0.6666666666666665,0.0,1.0,0.0
2,LIKA,7,4,0.5714285714285714,0.0,1.0,0.0
2,LIKA,8,4,0.5,0.0,1.0,0.0
2,LIKA,9,4,0.4444444444444444,0.0,1.0,0.0
2,LIKA,10,4,0.4,0.0,1.0,0.0
3,KSEA,1,4,0.48,0.5021167315686783,0.12,0.12552918289216958
3,KSEA,2,4,0.44,0.3501803287254477,0.22,0.17509016436272384
3,KSEA,3,4,0.4233333333333333,0.2756687613663652,0.3175,0.20675157102477393
3,KSEA,4,4,0.395,0.20468009037016616,0.395,0.20468009037016616
3,KSEA,5,4,0.38,0.18090680674665816,0.475,0.2261335084333228
3,KSEA,6,4,0.3683333333333333,0.1427149765589835,0.5525,0.21407246483847522
3,KSEA,7,4,0.35142857142857137,0.11561278572657559,0.615,0.2023223750215073
3,KSEA,8,4,0.3425,0.09990525815021249,0.685,0.19981051630042498
3,KSEA,9,4,0.33444444444444443,0.08721058705555984,0.7525,0.19622382087500964
3,KSEA,10,4,0.325,0.07436600722307894,0.8125,0.18591501805769736
3,LIKA,1,4,0.98,0.1407052941362897,0.245,0.03517632353407243
3,LIKA,2,4,0.93,0.1743675440098885,0.465,0.08718377200494425
3,LIKA,3,4,0.8566666666666667,0.20789684915305132,0.6425,0.15592263686478847
3,LIKA,4,4,0.75,0.17407765595569788,0.75,0.17407765595569788
3,LIKA,5,4,0.654,0.13884079975557503,0.8175,0.17355099969446877
3,LIKA,6,4,0.5816666666666667,0.09324851846161522,0.8725,0.1398727776924228
3,LIKA,7,4,0.5142857142857142,0.07321010617007691,0.9,0.12811768579763458
3,LIKA,8,4,0.4625,0.05757077330897978,0.925,0.11514154661795956
3,LIKA,9,4,0.4255555555555555,0.04194724089651522,0.9575,0.0943812920171592
3,LIKA,10,4,0.39,0.030151134457776372,0.975,0.07537783614444091
